9.617117095429751350e-01,9.546489858631693748e-01,9.441803378513333733e-01,9.680072121840138655e-01,9.777907633452912473e-01,9.682515704552804303e-01,9.227097203435327133e-01,9.339245391148133235e-01
9.670837015075675058e-01,9.583306155775599411e-01,9.510634715137592510e-01,9.729636278779210112e-01,9.799441185028266998e-01,9.718440876566583064e-01,9.267387526359869288e-01,9.404129732569823652e-01
9.702630013058424208e-01,9.606661365232608274e-01,9.562898740337925085e-01,9.759614080246840073e-01,9.811231860369753477e-01,9.741889297542584147e-01,9.312565891582870181e-01,9.455300690075830738e-01
9.724790978852685397e-01,9.624977277028615719e-01,9.597917773609039305e-01,9.788120808884295254e-01,9.819157334373888046e-01,9.759742825110966358e-01,9.349762425687084821e-01,9.494296496683493070e-01
9.742749526086000866e-01,9.638272062397913453e-01,9.629981751996753436e-01,9.803767322169423259e-01,9.825259354447374305e-01,9.777853476445615977e-01,9.384608696979840348e-01,9.523542872947347027e-01
9.755637169385676932e-01,9.650777690428330446e-01,9.656651711543152716e-01,9.813326737302812131e-01,9.831122902984192891e-01,9.796596037668681145e-01,9.413117003485399481e-01,9.557218749123107537e-01
9.767755858141038416e-01,9.661984801829619496e-01,9.678086523622326798e-01,9.821720179451401966e-01,9.836918642762084719e-01,9.809749312836218982e-01,9.437434971653524407e-01,9.582990408927545278e-01
9.779517642457202786e-01,9.674510503334033951e-01,9.695717251126830805e-01,9.826316372749968053e-01,9.841413733948435327e-01,9.820555730040099185e-01,9.455001703177824401e-01,9.603980370232336750e-01
9.792634026424114069e-01,9.684176169981894011e-01,9.712480804623773167e-01,9.834153654500290553e-01,9.843681378761601763e-01,9.830995973407135047e-01,9.472271049124111331e-01,9.620910833729278133e-01
9.804574200263153072e-01,9.694928592955930347e-01,9.726038753308924312e-01,9.841480231754180519e-01,9.845597995775265954e-01,9.839307984678726804e-01,9.494654663872301725e-01,9.631989549369006642e-01
9.812868917064035967e-01,9.705909586925257626e-01,9.740832780714431260e-01,9.847371686054688933e-01,9.846620943045315544e-01,9.848295886032667479e-01,9.515937980790399875e-01,9.643767712729920394e-01
